titulo,caracteristicas,precio_numerico,precio_por_m2,categoria_precio,metros_cuadrados,categoria_tamano,ambientes,dormitorios,banos,cocheras,barrio,ciudad,descripcion
27 de Abril 990,70 m² tot. 3 amb. 2 dorm. 1 baño,600000,8571.42857142857,Medio,70.0,Mediano,3,2,1.0,,Alberdi,Córdoba,"Living comedor (con 2 ventiladores y calefactor) - Cocina separada (con extractor) - 2 Habitaciones (con calefactor y ventilador) - Baño completo. Depto amplio, luminoso y ventilado - Servicios conectados. contrato a 24 meses, actualización trimestral con índice ipc. A cargo del inquilino: alquiler, expensas, impuesto Municipal y servicios"
La Rosella Villa,114 m² tot. 3 amb. 2 dorm. 2 baños,1400000,12280.701754385966,Premium,114.0,Grande,3,2,2.0,,Valle Escondido,Córdoba,"Departamento en alquiler en la rosella villa, valle escondido T iii Descripción del dpto: -Planta baja-Lavadero separado-Balcón con asador-Cocina con muebles de mesada, bajo mesada y alacena-Living-comedor-Dos dormitorios (uno en suite con vestidor) -Dos baños-1 Toillete de visitaDetalles de categoría: -Pisos de porcelanato-Aberturas de aluminio A30-Muebles de cocina en diseño italiano, con mesada en piedra negro brasil leather-Ambientes amplios y luminosos-Superficie propia: 114, 58-Superficie común: 26. 65-Superficie total: 146, 34El complejo: -Condominio exclusivo en el corazón de Valle Escondido-Seguridad las 24hs-Amenities: Piscina con solárium y equipamiento para exterior, club house con espacio de cocina gourmet-A solo unos pasos de acaece, paseo comercial y gastronómico."
Pueyrredón al 800,43 m² tot. 2 amb. 1 dorm. 1 baño,400000,9302.32558139535,Económico,43.0,Pequeño,2,1,1.0,,Observatorio,Córdoba,"Juarez beltran S. A. - alquilaubicación: pueyrredón 843 - barrio observatoriopropiedad/características: Se trata de un departamento de 1 dormitorio, muy luminoso, con doble balcón. - Tiene cocina integrada con muebles bajo mesada. - baño completo con ducha. - Calefactor. Conexión a lavarropas: siservicios a cargo del inquilino: Luz y gasImpuestos a cargo del propietario: Municipalidad y rentas. Amenities: nomodalidad de contrato: Contrato por 2 años con actualizaciones cada 4 meses según el índice icl emitido por el bcra. importante: La presente publicación está sujeta a disponibilidad. La información es meramente referencial. Los datos no constituyen oferta alguna y se encuentran sujetos a la confirmación del propietario, por lo que los términos no resultan vinculantes entre las partes. La operación que se desea llevar a cabo se encuentra sujeta a disponibilidad de contacto con la inmobiliaria. Para más información, consultar aquí: nueva córdoba – San Lorenzo 25. 3° Piso– Nva. Cba – tel: +54 Ver datos043 Ver datos allende – Rio de Janeiro 1725. Torre 1. Of. 11 – tel: +54 Ver datos69 Ver datos"
Esquiu Nº al 700 2 Dorm. c/ 2 Baños,60 m² tot. 4 amb. 2 dorm. 2 baños,770000,12833.333333333334,Medio,60.0,Mediano,4,2,2.0,,General Paz,Córdoba,"Con-Trato Presenta: Edificio: &quot;sonoma ribera&quot; - Dpto. 2 dormitorios, 2 baños completos! ! ubicación: Esquiu 753 – Bº General Pazel departamento: • Piso 11º con orientación sur• 2 dormitorios, uno de ellos con placares e interiores. • 2 Baños, completos con ante baño. • Cocina separada, equipada con muebles bajo mesada y alacenas, incluye artefacto de cocina. • Balcón pequeño• Living Comedor• Con Calefacción central por Radiadores. el edificio – amenities: • Piscina y solárium. • sum - Playroom. . • Baño para uso del quincho y pileta. • Sistema de Seguridad 24 hs, con Guardias. condiciones contractuales: - Plazo de contrato: 2 años. - Precio de Alquiler + Agua + Expensas. - Impuestos Municipal y Rentas a cargo del Propietario. - Ajustes: Cuatrimestrales x icl (indice de contratos de locación) disponibilidad inmediata! Coordinamos una visita? . . Esperamos tu llamado!"
Av. Velez Sarsfield 1340 - 6C,51 m² tot. 2 amb. 1 dorm. 1 baño,530000,10392.156862745098,Medio,51.0,Mediano,2,1,1.0,,Nueva Córdoba,Córdoba,"Duit ofrece en alquiler este excelente departamento de 1 dormitorio en barrio Nueva Córdoba, sobre Av. Velez Sarsfield 1340, a tan solo 3 cuadras de Ciudad Universitaria. - Departamento de 1 dormitorio. - Amplio Living comedor. - Baño completo. - Cocina integrada. - Placares completos. - Excelente nivel de terminaciones. - Edificio con pileta de natación y salón de usos múltiplesalquiler $ 530. 000expensas $ 129. 000aguas cordobesas $ 15. 000contrato con actualizacion cada 4 meses por Ver datos apVer datosLas medidas publicadas son aproximadas. Los valores publicados pueden sufrir variaciones. cpcpi 5201"
Departamento en Alquiler en Alto Alberdi. 1 Dormitorio,40 m² tot. 2 amb. 1 dorm. 1 baño,325000,8125.0,Económico,40.0,Pequeño,2,1,1.0,,Alto Alberdi,Córdoba,"En esta oportunidad Rue Negocios Inmobiliarios te ofrece en Alquiler Departamento ubicado en tercer piso por escalera (último piso) cuenta con cocina totalmente separada a un living comedor, baño completo y 1 dormitorio con placard. . Metros cubiertos: 40 mts Expensas $75. 009 incluyen impuestos, Municipalidad Rentas y Agua. Consultanos!"
"Flats del Parque, Unnamed Road, Córdoba",54 m² tot. 3 amb. 2 dorm. 2 baños,560000,10370.37037037037,Medio,54.0,Mediano,3,2,2.0,,Manantiales,Córdoba,"Franca Scagliotti Neg. Inmobiliarios ofrece en alquiler a 2 años un departamento en Manantiales 2, Flats del Parque. Alquiler: $560. 000 con Ajuste Cuatrimestral del ipc. Expensas: $ 220. 000 aprox. . 2 dormitorios (uno de los cuales abierto al living comedor con posibilidad de cierre) . Estar comedor. . Toilette. . Baño completo. . Cocina integrada. . Alarma. . Cochera. . Amenities (sum, pileta). Por más información o para ve la propiedad comunicate con Silvina Iribarrren al Ver datos."
Felix Frias al 400,45 m² tot. 5 amb. 1 dorm. 1 baño,540000,12000.0,Medio,45.0,Pequeño,5,1,1.0,,General Paz,Córdoba,"Cabalen propiedades ofrece en alquiler departamento ubicado en el corazón de barrio general paz sobre la calle Félix Frías, con avenidas cercanas, clínicas, supermercados, plazas, cuenta con las siguientes características: - 1 Dormitorio completo con placard- Ante baño- Baño completo- Living comedor con aire acondicionado- Cocina equipada e integrada tipo americana- Pileta"
Av. Republica China,120 m² tot. 2 amb. 2 dorm. 2 baños 1 coch.,1300000,10833.333333333334,Premium,120.0,Muy grande,2,2,2.0,1.0,Pacífico,Valle Escondido,"Confort y Naturaleza en perfecta armonía: Departamento de 2 dormitorios en Alquiler. Pacífico Condominio Privado, Valle Escondido. Departamento. - Living comedor. - Cocina totalmente equipada. - Balcón con asador. - 2 dormitorios, uno en suite. - Baño zonificado. - Cochera subterránea. Pacífico Condominio Privado. - Vigilancia 24 hs. - Piscina. - Terrazas con solarium húmedo. - sum con asasdores. - Área de estar y entrenamiento. - Circuito aeróbico exterior. - Espacios verdes y plazas para niños. importante: Los precios enunciados, las medidas y las descripciones, fotos, videos, etc. Son meramente orientativas e ilustrativas y están sujetos a modificación sin previo aviso, como así también la disponibilidad de los inmuebles, no constituyendo oferta de venta ni compromiso contractual. Consultanos por mensaje privado o te invitamos a nuestra oficina para mas detalles. Contactanos y coordiná tu visita!"
Paraná al 450,70 m² tot. 3 amb. 2 dorm. 1 baño,700000,10000.0,Medio,70.0,Mediano,3,2,1.0,,Nueva Córdoba,Córdoba,Departamento en alquiler de 2 dormitorios en Nueva Córdoba. El departamento está ubicado a pocas cuadras de la Plaza España y Parque Sarmiento. El departamento cuenta con: - 2 dormitorios amplios con placard. - Gran espacio en living comedor. - Balcón. - Cocina separada con preinstalación para lavarropas. - Toilette. - Baño completo. - Ventilación en todos los ambientes. Esperamos tu consulta para asesorarte!
