titulo,caracteristicas,precio_numerico,precio_por_m2,categoria_precio,metros_cuadrados,categoria_tamano,ambientes,dormitorios,banos,cocheras,barrio,ciudad,descripcion
"Tránsito Cáceres de Allende 472, 9º B",48 m² tot. 2 amb. 1 dorm. 1 baño,480000,10000.0,Económico,48.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Con-Trato presenta: Dpto. 1 dormitorio c/balcón Bº Nueva CórdobaUbicación: Tránsito Cáceres de Allende al 400, 9º pisozona parque sarmiento! Imperdible! Excelente ubicación, a media cuadra de la Terminal de Omnibus, externo. El departamento: • Dormitorio con placard e interiores• Ante baño / Baño con ducha• Cocina separada con bajo mesada• Living- comedor • Balcón chico. Condiciones de contratación: • Alquiler mensual + Municipalidad + Agua + Servicios• Impuestos: dgr a cargo del propietario• Ajuste: Cuatrimestral por icl. • Plazo: Contrato a 2 añosdisponible A partir del 1º de junio! Coordinamos una visita?. . Esperamos tu llamado"
Libertad 955- 2 Dormitorios -22 J,57 m² tot. 3 amb. 2 dorm. 2 baños,800000,14035.087719298246,Alto,57.0,Mediano,3,2,2.0,,General Paz,Córdoba,"Departamento A estrenar Bº general pazdepartamento de 2 habitaciones en Bº General Paz - Alto Paz Tower! ! Tocá el cielo con las manos y disfruta de las mejores vistas 360° de la Ciudad! ! Características: - 2 dormitorios- 2 baños completos sanitarios ferrum linea marina- Living comedor amplio- Cocina super equipada (anafe, horno y purificador) - Alacena y bajo mesada con frenos en puertas y cajones- Caldera dual y radiadores- Aberturas super premium ha-62- Luminarias empotradas en cielorraso- Amenities en altura- Posibilidad de alquilar cochera aparte, en subsuelo - no incluído en el precio publicado35 pisos114 metros de Ver datos metros cubiertos+ de 290 departamentos168 cocheras subterráneasamenities en altura. 33, 34 y 35. la pileta mas alta de cordoba! posibilidad de alquiler de cochera - consultaralquiler: $800. 000expensas: $176. 000 aprox. consulta con alguno de nuestros asesores para mas informacion detalladaconsúltanos para coordinar una visita! Excelente oportunidad! neta servicios inmobiliarios"
Lima 742,73 m² tot. 3 amb. 2 dorm. 2 baños,730000,10000.0,Medio,73.0,Mediano,3,2,2.0,,General Paz,Córdoba,Boden presenta. Edificio: Toscana 05. Ubicación: Lima 742. Piso: 3ro externo. Caracteristicas: - Cocina separada con bajo mesada. - Living comedor luminoso. - Balcon externo. - 2 dormitorio con placard. - 2 baño completo. Espacios comunes: - Piscina. - sum con asadores. - Guardia 24hs. * Contrato por 2 años con incremento trimestral por ipc. ** garantias 2/3 recibos de sueldo superiores a 900mil.
Jacinto Rios 478- Edificio Mercedes,88 m² tot. 4 amb. 2 dorm. 2 baños,780000,8863.636363636364,Medio,88.0,Grande,4,2,2.0,,General Paz,Córdoba,"Con-Trato Inmobiliaria presenta: Depto. De dos dormitorios c/ balcónUbicación: Jacinto Ríos Nº 478 – Bº General PazEl departamento: • 4º Piso, Frente• 2 dormitorios, con placard e interiores• 2 Baños completos, uno de ellos en suite• Cocina americana, equipada con muebles bajo mesada, incluye artefacto de cocina. • Living Comedor• Balcón amplio• Cuenta con aire acondicionado en dormitorio• Con Calefacción central por Radiadores. Condiciones de contratación: • Alquiler mensual + expensas $75. 000 aprox. + Municipalidad $26. 800 + Agua $22. 600 aprox. + servicios• Ajuste: Cuatrimestral por icl. • Plazo: Contrato a 2 añosdisponibilidad inmedita! Coordinamos para verlo?. . Esperamos tu llamado"
Gandhi 71 - 2 Dormitorios,55 m² tot. 3 amb. 2 dorm. 1 baño 1 coch.,600000,10909.09090909091,Medio,55.0,Mediano,3,2,1.0,1.0,Don Bosco,Córdoba,"Neta alquilahermoso Departamento: sobre Av. Gandhi al 71, próximo a Valle Escondido, Shell Tropezón. Excelente ubicación, cercano a circunvalación. Características: -2 dormitorios con placard-1 baño, con ante baño y bañera-Living comedor, muy luminoso, con aire acondicionado y calefactor-Cocina separada-Balcón. -Cochera-Patio compartido con el otro departamento-no tiene expensasconsultanos para coordinar una visita! neta servicios inmobiliarios"
Felix Frias al 200,48 m² tot. 2 amb. 1 dorm. 1 baño,420000,8750.0,Económico,48.0,Pequeño,2,1,1.0,,General Paz,Córdoba,"“josé barrionuevo bienes raíces” te ofrece: venta departamento 1 dorm c/escritura B° general paz. Departamento 1 dormitorio, piso 6 Disposiciòn Frente, excelente ubicación, calle Felix Frias al 200, en el corazón de General Paz. El mismo posee: + Ingreso con seguridad de cámaras. + Ascensor con puertas de acero inoxidable automáticas. + Living comedor amplio y salida al balcón. + Cocina integrada, mesada de granito con bacha, mueble bajo mesada+ Balcón amplio. + Baño completo con ducha. + 1 dormitorio con placard empotrado. Posee Escritura. Un espacio único pensado y diseñado para tu comodidad y bienestar. Un edificio en la mejor zona de General Paz. Ubicado en un punto estratégico de la ciudad, el barrio se caracteriza por tener un gran crecimiento en cuanto a su polo gastronómico y sector comercial, a 2 cuadras del Centro Cívico de la ciudad de Córdoba, de La Legislatura Provincial y a pocos pasos del centro de la Ciudad. No dejes de llamarnos y organizamos una visita! -alquiler $420. 000expensas $70. 000honorarios $504. 000El departamento se alquila con contrato por 24 meses, los ajustes serán cuatrimestrales (ipc), se solicita al inquilino que tenga ingresos demostrables y garantías de recibo de sueldo iguales o superiores a $1. 300. 000. -escuchamos tu propuesta! No dejes de llamarnos! &quot;josé barrionuevo bienes raices. &quot; - Matrícula cpi-6083 -"
Ovidio Lagos 11,40 m² tot. 2 amb. 1 dorm. 1 baño,420000,10500.0,Económico,40.0,Pequeño,2,1,1.0,,General Paz,Córdoba,"Departamento de 1 dormitorio en alquiler – Cómodo, luminoso y bien ubicado Características principales: • Dormitorio: amplio, con placard empotrado, buena entrada de luz natural. • Cocina: separada del ambiente principal, con espacio para cocina y heladera. • Baño: completo, con ducha. • Living-comedor: cómodo y funcional, con buena iluminación natural. • Balcón: no posee. • Luz natural: excelente iluminación durante el día en todos los ambientes. • Edificio: de construcción antigua, pero muy tranquilo. • Gastos comunes: bajos, lo que lo hace una opción económica para vivir. • Ubicación: en una zona estratégica, con fácil acceso a transporte público, comercios y servicios. Ideal para quienes buscan un espacio funcional, cómodo y bien ubicado. contacto: Ver datos / Ver datos400 (fijo)"
Esquiu al 700 2dorm c/ 2 Baños,55 m² tot. 3 amb. 2 dorm. 2 baños,750000,13636.363636363636,Medio,55.0,Mediano,3,2,2.0,,General Paz,Córdoba,"Con-trato Presenta: Edificio: Sonoma Ribera, Esquiu al 700Depto. De 2 dormitorios con excelente vista a Parque Gral. Paz. El departamento: • Amplio estar comedor• Cocina totalmente equipada con muebles bajo mesada, mesada de granito natural con doble bacha de acero inoxidable, • 2 Dormitorios con placard• 2 Baños completos. • Balcón pequeño• Calefacción por radiadoresel edificio – amenities: • Piscina y solárium. • sum - Playroom. . • Baño para uso del quincho y pileta. • Sistema de Seguridad 24 hs, con Guardias. condiciones contractuales: - Plazo de contrato: 2 años. - Precio de Alquiler + Agua + Expensas. - Impuestos Municipal y Rentas a cargo del Propietario. - Ajustes: Cuatrimestrales x icl (índice de contratos de locación) Disponibilidad inmediata, coordinamos para verlo?"
San Luis al 230,45 m² tot. 2 amb. 1 dorm. 1 baño,500000,11111.111111111111,Medio,45.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Grupo Lambel te ofrece departamento en alquiler. Se encuentra ubicado estratégicamente en e barrio nueva cordoba, a pocas cuadras de lugares como Buen Pastor, Mercado Sud y Patio Olmos Shopping. El departamento cuenta con: - 1 dormitorio con placard con interiores. - Living comedor con rack de tv. - Cocina separada con preinstalación de lavarropas. - Baño completo. Las expensas incluyen Impuestos y Aguas cordobesas. Esperamos tu consulta!"
Libertad 955 - 22 H- 1 Dormitorio,45 m² tot. 2 amb. 1 dorm. 1 baño,700000,15555.555555555555,Medio,45.0,Pequeño,2,1,1.0,,General Paz,Córdoba,"Departamento en alquiler de 1 dormitorio en piso 22, tipología H! Ubicado en la torre más alta de Córdoba! Alto paz tower! Características: -1 dormitorio- 1 baño completo con sanitarios ferrum linea marina- Living comedor amplio- Cocina super equipada (anafe, horno y purificador) - Alacena y bajo mesada con frenos en puertas y cajones- Caldera dual y radiadores- Aberturas super premium ha-62- Luminarias empotradas en cielorraso- Amenities en altura- Posibilidad de alquilar cochera aparte, en subsuelo - no incluido en el precio publicado35 pisos114 metros de Ver datos metros cubiertos+ de 290 departamentos168 cocheras subterráneasamenities en altura. 33, 34 y 35. la pileta mas alta de cordoba! posibilidad de alquiler de cochera - consultaralquiler: $700. 000expensas: $135. 000consulta con alguno de nuestros asesores para mas información detalladaneta servicios inmobiliarios"
Colón al 5000,46 m² tot. 2 amb. 1 dorm. 1 baño,400000,8695.652173913044,Económico,46.0,Pequeño,2,1,1.0,,Quebrada de las Rosas,Córdoba,"En esta oportunidad platinus Bienes Raíces te ofrece este departamento en alquiler en barrio Quebrada de las Rosas, sobre Av. Colón 5034. Cuarto piso. Valor de Alquiler: $400. 000Expensas: $ 130. 000Tiempo de Contrato: 2 años. Ambientes: - 1 Dormitorios- 1 Baño- Cocina- Living-comedor-Balcón con Parrillarequisitos de garantia: 1. Opcion 1: Titular que demuestre ingresos + Garantía Propietaria + Garante con Recibo de Sueldo. 2. Opcion 2: Titular que demuestre ingresos + 3 Garantes con Recibos de Sueldo. Platinus Bienes RaicesFélix Frías 272 - B° General Paz"
Asuncion 35 JUNIORS,60 m² tot. 3 amb. 2 dorm. 1 baño,400000,6666.666666666667,Económico,60.0,Mediano,3,2,1.0,,Juniors,Córdoba,Boden presenta. Ubicación: Asuncion 35 juniors. Piso: 1 con balcon. Caracteristicas: - Living comedor luminoso. - Cocina separada con bajo mesada y alacenas. - Baño completo. - 2 dormitorios con placard. * Contrato por 2 años con incremento trimestral por ipc. ** Garantías 2/3 recibos de sueldo superiores a 850mil.
Dr. Enrique Tornu 2385,60 m² tot. 4 amb. 2 dorm. 1 baño,450000,7500.0,Económico,60.0,Mediano,4,2,1.0,,Villa Páez,Córdoba,"Somos Venezia y Asociados, te presentamos un hermoso departamento. . Super amplio y luminoso! Se encuentra ubicado, sobre la calle Enrique Tornú a media cuadra de Av. Pedro Zanni y tres cuadras de Monseñor de Andrea, por donde pasan gran cantidad de líneas de colectivos, por otro lado en la zona contas con diferentes comercios. - El departamento esta dispuesto en un primer piso, por escalera, cuenta con living comedor muy amplio con cocina integrada, la cocina cuenta con muebles bajo mesada y una puerta que sale al patio de baldosas. - Dos dormitorios, grandes con placares completos, modernos con mucho espacio y un baño completo! = te dejamos un video para que puedas rocorrerlo= Vamos a conocerlo?"
Avenida Santa Ana 3400 PA,48 m² tot. 2 amb. 1 dorm. 1 baño,300000,6250.0,Económico,48.0,Pequeño,2,1,1.0,,Alto Alberdi,Córdoba,"Departamento ubicado en primer piso por escalera que consta de: ==> Living comedor. ==> Cocina integrada equipada con mueble bajo mesada. ==> Un dormitorio con placard con interiores completos. ==> Un baño y patio de material con asador. Posición interno con orientación este. El inmueble se ubica en calle Avda. Santa Ana 3480, entre Avda. Los Plátanos y Félix Paz, frente a Supermercado Mariano Max. Servicios: Electricidad, Pavimento, Teléfono, Agua Corriente, Videocable"
Libertad 955 - 2 Dormitorios - 9J,76 m² tot. 3 amb. 2 dorm. 2 baños,900000,11842.105263157895,Alto,76.0,Mediano,3,2,2.0,,General Paz,Córdoba,"Departamento A estrenar Bº general paz Departamento de 2 habitaciones en Bº. General Paz - Alto Paz Tower! ! Tocá el cielo con las manos y disfruta de las mejores vistas 360° de la Ciudad! ! Características: -2 dormitorios- 2 baños completos sanitarios ferrum linea marina- Living comedor amplio- Cocina super equipada (anafe, horno y purificador) - Alacena y bajo mesada con frenos en puertas y cajones- Caldera dual y radiadores- Aberturas super premium ha-62- Luminarias empotradas en cielorraso- Amenities en altura- Posibilidad de alquilar cochera aparte, en subsuelo - no incluído en el precio publicado 35 pisos114 metros de Ver datos metros cubiertos+ de 290 departamentos168 cocheras subterráneasamenities en altura. 33, 34 y 35. la pileta mas alta de cordoba! posibilidad de alquiler de cochera - consultaralquiler: $900. 000expensas: $235. 000 aprox. consulta con alguno de nuestros asesores para mas información detalladaconsúltanos para coordinar una visita! Excelente oportunidad! neta servicios inmobiliarios"
25 de Mayo al 900,55 m² tot. 5 amb. 1 dorm. 1 baño,750000,13636.363636363636,Medio,55.0,Mediano,5,1,1.0,,Córdoba,Córdoba,"Jose Barrionuevo &quot;Bienes Raíces&quot; te ofrece en alquiler temporario: Hermoso departamento de categoría amoblado de 1 dormitorio, con amenities en Barrio General Paz. El mismo se encuentra estratégicamente ubicado cerca de los principales puntos y plazas del barrio. Se ubica en edificio inarco 25 con Vigilancia las 24hs, Pileta, 2 sum, gimnasio y sala de coworking. Este Departamento cuenta con: -1 dormitorios con placar-Living - comedor amplio y luminoso. -Cocina con extractor y ventilación. -BañoAdemás, cuenta con calefacción y aire acondicionado. Plazo de locación a convenir. Ajustes: cuatrimestrales según ipc. Escuchamos tu propuesta! No dejes de llamarnos! &quot;josé barrionuevo bienes raices. &quot; - Matrícula cpi-6083 -"
Libertad 955 - 1 Dormitorio - 21 E,57 m² tot. 2 amb. 1 dorm. 1 baño,650000,11403.508771929824,Medio,57.0,Mediano,2,1,1.0,,General Paz,Córdoba,"Neta alquiladepartamento A estrenar - Piso 21 Tipologia E, en Bº general pazdepartamento de 1 habitación en Bº. General Paz - Alto Paz Tower! ! Toca el cielo con las manos y disfruta de las mejores vistas 360° de la Ciudad! ! Características: -1 dormitorio- 1 baños completo con sanitarios ferrum linea marina- Living comedor amplio- Cocina semi - integrada super equipada (anafe, horno y purificador) - Alacena y bajo mesada con frenos en puertas y cajones- Caldera dual y radiadores- Aberturas super premium ha-62- Luminarias empotradas en cielorraso- Amenities en altura- Posibilidad de alquilar cochera aparte, en subsuelo - no incluido en el precio publicado 35 pisos114 metros de Ver datos metros cubiertos+ de 290 departamentos168 cocheras subterráneasamenities en altura. 33, 34 y 35. la pileta mas alta de cordoba! posibilidad de alquiler de cochera - consultaralquiler: $650. 000expensas: $135. 000 aprox. (las mismas están sujetas a modificación) consulta con alguno de nuestros asesores para mas informacion detalladaconsúltanos para coordinar una visita! Excelente oportunidad! neta servicios inmobiliarios"
Roma 368 - 1 A - 1 Dormitorio,47 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.,650000,13829.787234042553,Medio,47.0,Pequeño,2,1,1.0,1.0,General Paz,Córdoba,"Neta alquilahermoso departamento ubicado en calle Roma 368 en 1° piso B° General Paz. Características: -1 dormitorio que incluye placard con interiores-Cochera techada en subsuelo-Balcón pequeño, contrafrente-Cocina integrada-Baño con antebaño El edificio cuenta con sum con asador y una pequeña pileta en terraza. alquiler $650. 000expensas $170. 000 aproximadamenteimportante! ! El departamento se alquila sin los muebles! ! Contactanos para más información! neta servicios inmobiliarios"
Bv chacabuco esq chile,190 m² tot. 8 amb. 1 dorm. 3 baños 1 coch.,850000,4473.684210526316,Alto,190.0,Muy grande,8,1,3.0,1.0,Nueva Córdoba,Córdoba,"Grupo Seis Negocios Inmobiliarios alquila excelente piso a metros de plaza España en la Torre Ludovico iii. El mismo cuenta con 1Dormitorio en suite con baños completamente equipados, 1 amplio escritorio, Cocina completamente equipada con desayunador, 2 baños (1en suite), 1 balcon y 1 cocheras con baulera, seguridad las 24 hs"
Nazaret 3200 pb,87 m² tot. 2 amb. 1 dorm. 1 baño 1 coch.,700000,8045.977011494253,Medio,87.0,Grande,2,1,1.0,1.0,Las Rosas,Córdoba,"[cordobg-3875] Complejo Casonas del Norte, Torre Pontevedra, ubicado en Planta Baja, que consta de: ==> 1 dormitorio. ==> Living comedor. ==> cocina muy bien equipada. ==> Baño completo. ==> Patio. ==> Cochera. Otras características: ==> Sup. Propia aproximada: 87 Mtrs. 2. ==> Sup. Total aproximada: 68 Mtrs. 2. ==> Antigüedad 14 años. Amenities. Terrazas con asador. Jardín parquizado. Piletas para niños y adultos. Club House. Cocheras cubiertas. Gimnasio interior. Infraestructura y servicios. Ingreso jerarquizado. Infraestructura subterránea. Salón de usos múltiples. Senderos. Predio y perímetro controlado. Solarium. Se encuentran prohibidas las mascotas. Gastos al mes febrero 2025: ==> Expensas abonadas en enero 2025 $ 254. 000. ==> Aguas abonadas en enero 2025 $ 18. 000. ==> Impuesto Provincial enero 25 (rentas) $ sin dato. ==> Tasa Municipal (muni) $ 25. 054. ==> Seguro contra incendio y daños en la compañía de seguros Federación Patronal. (*) Pedir comprobantes antes de realizar la reserva. El dpto. Se encuentra ubicado en barrio las Rosas con rápido acceso por costanera. Servicios: Electricidad, Pavimento, Cloacas, Gas, Teléfono, Agua Corriente, Videocable. Agenda una visita con nosotros!! Comunicate telefónicamente con un asesor comercial, o bien consulta otras opciones en nuestro sitio Web, búscanos como Aguad Bienes Raíces. * La presente publicación, esta sujeto a disponibilidad ""La información contenida en la misma es meramente referencial. Los datos incorporados no constituyen oferta alguna y se encuentra sujeta a la confirmación del propietario, por lo que sus términos no resultarán vinculantes, debiendo los interesados comunicarse al teléfono informado en el presente a los fines de concretar una entrevista para evaluar posibilidad de operación inmobiliaria."
Obispo Trejo al 1280,81 m² tot. 5 amb. 2 dorm. 1 baño 1 coch.,950000,11728.395061728395,Alto,81.0,Grande,5,2,1.0,1.0,Nueva Córdoba,Córdoba,"Catiñeira Salguero ofrece en alquiler departamento A estrenar de 2 Dormitorios, con excelente ubicación en Nueva Córdoba. El mismo cuenta con las siguientes características: - 2 Dormitorios luminosos con Placard- Cocina separada con conexión para lavarropas- Living comedor Amplio y Luminoso- Balcón- Baño completo- Pisos de porcelanato- Bajo mesada- posibilidad de alquilar con cochera (consultar precio) contrato A dos años. Ajuste cuatrimestral por ipcimpuestos A cargo inquilinose entrega con ctt para pedir medidor de gas"
Roma 382- 6 A - 2 Dormitorios,55 m² tot. 3 amb. 2 dorm. 2 baños,750000,13636.363636363636,Medio,55.0,Mediano,3,2,2.0,,General Paz,Córdoba,"Neta alquila Departamento de 2 dormitorios en Barrio General Paz, en la tradicional calle Roma al 382, en un piso alto 6 con balcón y una vista despejada muy linda. No duermas que vuela! Características: -Living comedor amplio -Cocina integrada con mucho espacio de guardado. Horno incluído-Balcón super amplio, frente con vista despejada-2 dormitorios amplios con placar completo, 1 con baño en suite -2 baños completos -A/A en todos los ambientes del departamento-El edificio cuenta con 7 pisos, ascensor y escalerasalquiler: $750. 000expensas: $170. 000 aproximadamenteConsúltanos para coordinar una visitaExcelente oportunidadneta servicios inmobiliarios"
corrientes 47,70 m² tot. 2 amb. 2 dorm.,500000,7142.857142857143,Medio,70.0,Mediano,2,2,,,Centro,Córdoba,"Surban Negocios Inmobiliarios alquila. Departamento de dos dormitorios ubicado en calle Corrientes 47, entre Buenos Aires e Independencia, a una cuadra de Plaza San Martin y a dos cuadras del Patio Olmos, excelente ubicación. El mismo cuenta: -Living comedor amplio. -Cocina separada. -Dos dormitorios con placard e interiores. -Baño con bañera y accesorios completos. -no cuenta con balcón. -Ubicado en un cuarto piso contrafrente. Alquiler $500. 000. Expensas 87. 000. Cualquier consulta no dude en comunicarse con nosotros!"
Libertad 955 - 10 D - 1 Dormitorio,45 m² tot. 2 amb. 1 dorm. 1 baño,700000,15555.555555555555,Medio,45.0,Pequeño,2,1,1.0,,General Paz,Córdoba,"Neta alquila Departamento de 1 dormitorio en Bº. General Paz - Alto Paz Tower! ! Tocá el cielo con las manos y disfruta de las mejores vistas 360° de la Ciudad! ! Características: -1 dormitorio - 1 baño completo con sanitarios ferrum linea marina- Living comedor amplio- Cocina super equipada (anafe, horno y purificador) - Alacena y bajo mesada con frenos en puertas y cajones- Caldera dual y radiadores- Aberturas super premium ha-62- Luminarias empotradas en cielorraso- Amenities en altura- Posibilidad de alquilar cochera aparte, en subsuelo - no incluido en el precio publicadoEl departamento incluye 2 aa en living comedor y en dormitorio, ademas esta equipado con heladera y cerradura digital 35 pisos114 metros de Ver datos metros cubiertos+ de 290 departamentos168 cocheras subterráneasamenities en altura. 33, 34 y 35. la pileta mas alta de cordoba! posibilidad de alquiler de cochera - consultaralquiler: $700. 000 expensas: $135. 000consulta con alguno de nuestros asesores para mas información detalladaneta servicios inmobiliarios"
Independencia 1186,55 m² tot. 2 amb. 1 dorm. 1 baño,480000,8727.272727272728,Económico,55.0,Mediano,2,1,1.0,,Nueva Córdoba,Córdoba,"Boden presenta. Ubicacion: Independencia 1186. Piso: 4. Caracteristicas: - Living comedor con pisos flotantes de madera. - Cocina equipada integrada. - Baño completo. - Dormitorio con placard. - Balcon externo con salida del dormitorio. No tiene espacios comunes. * Contrato por 2 años con incremento trimestral por ipc. ** Garantias, recibos de sueldo superiores a 900M."
Rodriguez Peña 1409,45 m² tot. 2 amb. 1 dorm. 1 baño,420000,9333.333333333334,Económico,45.0,Pequeño,2,1,1.0,,Alta Córdoba,Córdoba,"Departamento de un dormitorio amoblado, ubicado en calle Rodríguez Peña 1409 en B Cofico. El edificio cuenta con ascensor, ingreso con llavero electrónico, doble puerta. El mismo se encuentra distribuido de la siguiente manera: - 2do piso tipología frente. - Living comedor. - Cocina con mobiliario bajo mesada y alacenas, artefacto de cocina a gas, extractor de aire, termo tanque, heladera, micro hondas y lavarropas. - Baño con cortina divisoria de ducha. - Placard para guardar ropa y elementos de la casa. - Dormitorio amoblado. Requisitos: - Contrato por 2 años con actualización cuatrimestral por ipc. - 3 garantías (recibos de sueldo superiores a los $ 1. 000. 000 y o garantía propietaria) aparte de la demostración de ingresos por parte del inquilino. - Honorarios inmobiliarios 5% sobre el monto total del contrato. - Expensas, impuesto municipal, impuesto de rentas y servicios a cargo del inquilino."
Bv. Chacabuco al 300,40 m² tot. 2 amb. 1 dorm. 1 baño,420000,10500.0,Económico,40.0,Pequeño,2,1,1.0,,Centro,Córdoba,"Juarez beltrán alquila - Departamento de 1 dormitorio en Bv. Chacabuco 300 Ubicado en pleno corazón de la ciudad, este cómodo departamento de 1 dormitorio ofrece una excelente opción para quienes buscan vivir cerca de todo. Situado en el 8º piso de un edificio con ascensor, el departamento cuenta con: 1 Dormitorio con placard empotrado, ideal para guardar tus pertenencias de manera ordenada y accesible. Cocina separada, permitiendo un espacio independiente para cocinar y optimizar la circulación del hogar. Baño completo con todo lo necesario para el confort diario. Con una ubicación privilegiada sobre Bv. Chacabuco al 300, tendrás fácil acceso a medios de transporte, comercios, y diversos servicios en la zona. Expensas aproximadas: $80, 000, que cubren los servicios comunes del edificio. Detalles adicionales: El departamento se encuentra en el 8vo piso y no cuenta con balcón, pero la vista desde la altura es despejada y luminosa. Ideal para solteros o parejas que buscan un espacio práctico y bien ubicado en una de las arterias más importantes de la ciudad. contrato por dos años, incremento cuatrimestral según icl,"
Ambrosio Olmos al 900,45 m² tot. 2 amb. 1 dorm. 1 baño,430000,9555.555555555555,Económico,45.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Te invitamos a conocer: En barrio Nueva Cordoba, sobre calle Ambrosio Olmos al 900, departamento de 1 dormitorio en alquiler. Características destacables: 1 DormitorioCocina completaMuebele de bajo mesadaExtractor y calefonEspacio para heladera y lavarropasPiso de parquetLiving comedorBaño completo. Balcón con vista a la calle. Ubicación ideal. Ubicado en calle Ambrosio Olmos al 900 en el barrio Nueva Córdoba, en las cercanías de Plaza España, Museo Superior de Bellas Artes, Patio Olmos, Parque de las Tejas, y Ciudad Universitaria, que cuenta con las siguientes universidades: unc, utn, Facultad de odontología, agropecuaria y de lengua, sigo xxi, ucc. Imagina vivir en una ubicación estratégica, donde todo lo que necesitas está a tu alcance. Comercios, Escuelas, sanatorios, Cines y Parques, todo a pocos minutos de tu hogar. Un lugar ideal para disfrutar de la comodidad y conveniencia que te mereces. ¡Aquí encontrarás lo que buscas, sin tener que renunciar a nada! La información detallada es exclusiva de taiana propiedades y es susceptible a modificación sin previo aviso. Todas las medidas enunciadas son meramente orientativas, las medidas exactas serán las que se expresen en el respectivo título de propiedad de cada inmueble. Todas las fotos, imágenes y videos son meramente ilustrativos, referenciales y no contractuales. Los precios enunciados son meramente orientativos y están sujetos a modificación sin previo aviso, como así también su disponibilidad. -"
Manuel Estrada 100 5°,41 m² tot. 2 amb. 1 dorm. 1 baño,400000,9756.09756097561,Económico,41.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Departamento ubicado en quinto que consta de: ==> Living comedor. ==> Cocina separada. ==> 1 Dormitorio. ==> Baño. Otras características: ==> Sup. Propia: 30Mtrs. 2. ==> Sup. Total: 41Mtrs. 2. ==> Posición frente con orientación sur. El inmueble se encuentra ubicado en calle Manuel Estrada 73, entre Independencia y Bueno Aires, próximo a: ==> Plaza España. ==> unc. ==> Sanatorio Allende. Agenda una visita con nosotros!! Comunicate telefónicamente con un asesor comercial, o bien consulta otras opciones en nuestro sitio Web, búscanos como Aguad Bienes Raíces. * La presente publicación, esta sujeto a disponibilidad ""La información contenida en la misma es meramente referencial. Los datos incorporados no constituyen oferta alguna y se encuentra sujeta a la confirmación del propietario, por lo que sus términos no resultarán vinculantes, debiendo los interesados comunicarse al teléfono informado en el presente a los fines de concretar una entrevista para evaluar posibilidad de operación inmobiliaria."
"Tránsito Cáceres de Allende 472, 9º B",48 m² tot. 2 amb. 1 dorm. 1 baño,480000,10000.0,Económico,48.0,Pequeño,2,1,1.0,,Nueva Córdoba,Córdoba,"Con-Trato presenta: Dpto. 1 dormitorio c/balcón Bº Nueva CórdobaUbicación: Tránsito Cáceres de Allende al 400, 9º pisozona parque sarmiento! Imperdible! Excelente ubicación, a media cuadra de la Terminal de Omnibus, externo. El departamento: • Dormitorio con placard e interiores• Ante baño / Baño con ducha• Cocina separada con bajo mesada• Living- comedor • Balcón chico. Condiciones de contratación: • Alquiler mensual + Municipalidad + Agua + Servicios• Impuestos: dgr a cargo del propietario• Ajuste: Cuatrimestral por icl. • Plazo: Contrato a 2 añosdisponible A partir del 1º de junio! Coordinamos una visita?. . Esperamos tu llamado"
Felix Frias al 200,48 m² tot. 2 amb. 1 dorm. 1 baño,420000,8750.0,Económico,48.0,Pequeño,2,1,1.0,,General Paz,Córdoba,"“josé barrionuevo bienes raíces” te ofrece: venta departamento 1 dorm c/escritura B° general paz. Departamento 1 dormitorio, piso 6 Disposiciòn Frente, excelente ubicación, calle Felix Frias al 200, en el corazón de General Paz. El mismo posee: + Ingreso con seguridad de cámaras. + Ascensor con puertas de acero inoxidable automáticas. + Living comedor amplio y salida al balcón. + Cocina integrada, mesada de granito con bacha, mueble bajo mesada+ Balcón amplio. + Baño completo con ducha. + 1 dormitorio con placard empotrado. Posee Escritura. Un espacio único pensado y diseñado para tu comodidad y bienestar. Un edificio en la mejor zona de General Paz. Ubicado en un punto estratégico de la ciudad, el barrio se caracteriza por tener un gran crecimiento en cuanto a su polo gastronómico y sector comercial, a 2 cuadras del Centro Cívico de la ciudad de Córdoba, de La Legislatura Provincial y a pocos pasos del centro de la Ciudad. No dejes de llamarnos y organizamos una visita! -alquiler $420. 000expensas $70. 000honorarios $504. 000El departamento se alquila con contrato por 24 meses, los ajustes serán cuatrimestrales (ipc), se solicita al inquilino que tenga ingresos demostrables y garantías de recibo de sueldo iguales o superiores a $1. 300. 000. -escuchamos tu propuesta! No dejes de llamarnos! &quot;josé barrionuevo bienes raices. &quot; - Matrícula cpi-6083 -"
Jacinto Rios 310,60 m² tot. 3 amb. 2 dorm. 1 baño,450000,7500.0,Económico,60.0,Mediano,3,2,1.0,,General Paz,Córdoba,"Boden presenta. Ubicacion: Jacinto Rios 310. Piso: 2 por escalera. Caracteristicas: - Living comedor. - Cocina separada con bajo mesada - ventilacion natural. - Baño completo. - Segundo dormitorio con placard. - Dormitorio principal con vestidor. - Ambos dormitorios con persianas. - Ventilacion cruzda. - Balcon. bajas expensas! * Contrato por 2 años con incremento trimestral por ipc. ** Garantias, recibos de sueldo superiores a 900M."
