titulo,precio,descripcion,ubicacion
"62 m² tot.
3 amb.
2 dorm.
1 baño",$ 530.000,"Departamento de dos dormitorios, ubicado sobre calle Jujuy 2242, B Alta Córdoba, el mismo se encuentra a tan sólo 2 cuadras de la plaza principal en el consolidado barrio de Alta Córdoba. El inmueble está distribuido se la siguiente manera: - Primer piso Dpto. 12. - Cocina semi separada, con lavadero y ventilación propia. - Living comedor amplio con salida a bacón y calefactor. - Balcón con puerta corrediza de vidrio y rejas. - Dos dormitorios con placard. - Baño completo con cucha. - El inmueble se encuentra dentro de un complejo de departamentos con acceso por escalera y espacios comunes abiertos. Requisitos: - 3 garantías de recibos de sueldo (superiores a $ 1. 100. 000) o propietaria aparte de la demostración de ingreso del inquilino. - Valor de expensas $ 65. 000 aproximadamente. - Impuesto inmobiliario municipal y de rentas a cargo del inquilinoa. Contrato por dos años con actualización cuatrimestral por ipc.","Alta Córdoba, Córdoba"
"90 m² tot.
3 amb.
2 dorm.
1 baño",$ 1.100.000,"Boden presenta. Edificio: Cardinales de Cofico. Ubicación: Jujuy 1412. Caracteristicas: - Cocina con barra, bajo mesada, alacenas y anafe. - Living comedor muy amplio y luminoso. - Balcón con gran vista. - 2 dormitorios con placard. - Un baño completo con ventilación. Espacios comunes: - sum con asadores. - Piscina con solarium. * Contrato por 2 años con incremento trimestral por ipc. ** Garantías 3/4 recibos de sueldo superiores a 900mil.","Cofico, Córdoba"
"90 m² tot.
2 amb.
2 dorm.
2 baños",$ 1.050.000,"Surban Negocios Inmobiliarios alquila. Increible departamento de dos dormitorios ubicado en Transito Cáceres de Allende 430, entre las calles Rondeau y Bv Illia, a media cuadra de la Terminal de Córdoba, a una cuadra del Parque Sarmiento, excelente ubicación en pleno corazón de Nueva Córdoba. El mismo cuenta: -Living comedor. -Cocina integrada con barra desayunadora. -Dos baños completos con ducha y accesorios completos. -Dos habitaciones con placard e interiores. -Dos balcones. -Caldera central con radiadores en todos sus ambientes. -Ubicado en un tercer piso contrafrente. -Edificio con seguridad, pileta y sum con asador. Alquiler $1. 050. 000. Expensas a determinar. Cualquier consulta no dude en comunicarse con nosotros!","Nueva Córdoba, Córdoba"
"112 m² tot.
3 amb.
2 dorm.
1 baño
1 coch.",$ 750.000,"Casonas del Sur ii se encuentra pasando el puente de Av. Vélez Sarsfield, a 1' del Hospital Privado y a 10'del centro de la ciudad. Condominio Privado Residencial con Seguridad y amenities de categoría, Jardín parquizado, 2 sum con asadores y baños, Las piscinas están con cerco de seguridad para que grandes y chicos puedan disfrutar este agradable entorno. Departamento con vistas al Jardín y Piscinas. Ingreso a Living Comedor, con salida al Balcón aterrazado, Cocina y lavadero con alacenas y bajomesadas, Caldera dual. 1 Baño Completo, 2 Dormitorios. Otras Características: Calefacción por radiadores. Las ventanas tienen persianas. Carpintería interior de madera. Baño con bañadera. Balcón aterrazado con asador. La Cochera de este Departamento se encuentra en el nivel 0 al frente del mismo y es semicubierta. requisitos para el alquiler: -Alquiler Mensual: $750. 000. -Contrato 24 meses. -Deposito en Garantía: 1 mes de alquiler. -Inquilino y 2 Garantes con ingresos mensuales > $2. 000. 000. -Expensas Mensuales a cargo del Inquilino (por ahora las expensas incluyen impuesto inmob. Y Aguas) -Cuando los impuestos inmb. No formen parte de las expensas y estén por separado, serán a cargo del Inquilino. -Actualización alquiler Cada 4 meses con el índice de precios al consumidor (ipc) -Comision Inmobiliaria 5% del total del contrato","Colinas de Vélez Sársfield, Córdoba"
"41 m² tot.
2 amb.
1 dorm.
1 baño",$ 400.000,"Departamento ubicado en quinto que consta de: ==> Living comedor. ==> Cocina separada. ==> 1 Dormitorio. ==> Baño. Otras características: ==> Sup. Propia: 30Mtrs. 2. ==> Sup. Total: 41Mtrs. 2. ==> Posición frente con orientación sur. El inmueble se encuentra ubicado en calle Manuel Estrada 73, entre Independencia y Bueno Aires, próximo a: ==> Plaza España. ==> unc. ==> Sanatorio Allende. Agenda una visita con nosotros!! Comunicate telefónicamente con un asesor comercial, o bien consulta otras opciones en nuestro sitio Web, búscanos como Aguad Bienes Raíces. * La presente publicación, esta sujeto a disponibilidad ""La información contenida en la misma es meramente referencial. Los datos incorporados no constituyen oferta alguna y se encuentra sujeta a la confirmación del propietario, por lo que sus términos no resultarán vinculantes, debiendo los interesados comunicarse al teléfono informado en el presente a los fines de concretar una entrevista para evaluar posibilidad de operación inmobiliaria.","Nueva Córdoba, Córdoba"
"51 m² tot.
2 amb.
1 dorm.
1 baño",$ 530.000,"Duit ofrece en alquiler este excelente departamento de 1 dormitorio en barrio Nueva Córdoba, sobre Av. Velez Sarsfield 1340, a tan solo 3 cuadras de Ciudad Universitaria. - Departamento de 1 dormitorio. - Amplio Living comedor. - Baño completo. - Cocina integrada. - Placares completos. - Excelente nivel de terminaciones. - Edificio con pileta de natación y salón de usos múltiplesalquiler $ 530. 000expensas $ 129. 000aguas cordobesas $ 15. 000contrato con actualizacion cada 4 meses por Ver datos apVer datosLas medidas publicadas son aproximadas. Los valores publicados pueden sufrir variaciones. cpcpi 5201","Nueva Córdoba, Córdoba"
"190 m² tot.
8 amb.
1 dorm.
3 baños
1 coch.",$ 850.000,"Grupo Seis Negocios Inmobiliarios alquila excelente piso a metros de plaza España en la Torre Ludovico iii. El mismo cuenta con 1Dormitorio en suite con baños completamente equipados, 1 amplio escritorio, Cocina completamente equipada con desayunador, 2 baños (1en suite), 1 balcon y 1 cocheras con baulera, seguridad las 24 hs","Nueva Córdoba, Córdoba"
"45 m² tot.
2 amb.
1 dorm.
1 baño",$ 450.000,"Departamento en alquiler de un dormitorio en Barrio General Paz Ubicación: Barrio General PazCaracterísticas: Un dormitorio, luminoso, ideal para una persona o pareja. Contrafrente, garantizando tranquilidad y menos ruido. Asador propio. Luminoso: con excelente iluminación natural. Amenities: Pileta para disfrutar en los días de calor. sum (Salón de Usos Múltiples) para eventos o reuniones. Ideal para quienes buscan un lugar cómodo, moderno y con buena ubicación. Tel. Ver datos Ver datos / Ver datos Ver datosMaipú 51 - 6º Piso - Of 04","General Paz, Córdoba"
"45 m² tot.
2 amb.
1 dorm.
1 baño",$ 1.000.000,"Inmobiliaria liprandi, te ofrece: Imperdible departamento amoblado, ubicado sobre Arquitecto Thays esquina Av. Chacabuco 1200. Barrio Nueva Córdoba. amobladoideal estudiantes – mtrs ciudad universitaria - parque sarmiento. Piso alto – excelente vista – luz Y ventilacion natural. gran terraza 34 m2 (12m de largo) Living comedor con salida a terraza. Cocina separada con ventilación natural, completa con bajo mesada y alacena. Baño completo con bañera con mampara de vidrio. 1 Dormitorio con gran placard y salida a la terraza. alquiler $ 1. 000. 000 incremento cuatrimestral (icl) expensas $ 170. 000 ( Con portero de 8 a 10/ 15 a 17) agua $ 19. 000municipalidad y dgr - a definir -.","Nueva Córdoba, Córdoba"
"54 m² tot.
3 amb.
2 dorm.
2 baños",$ 560.000,"Franca Scagliotti Neg. Inmobiliarios ofrece en alquiler a 2 años un departamento en Manantiales 2, Flats del Parque. Alquiler: $560. 000 con Ajuste Cuatrimestral del ipc. Expensas: $ 220. 000 aprox. . 2 dormitorios (uno de los cuales abierto al living comedor con posibilidad de cierre) . Estar comedor. . Toilette. . Baño completo. . Cocina integrada. . Alarma. . Cochera. . Amenities (sum, pileta). Por más información o para ve la propiedad comunicate con Silvina Iribarrren al Ver datos.","Manantiales, Córdoba"
